id,score,c1,c2,c3,c4
cyc28,0.78351754,1.6001825,1.9222354,2.6538384,3.9993105
m41,0.8079262,1.6225474,1.9251577,2.857524,3.7615619
m42,0.8088408,1.5185962,1.9812462,2.8252087,3.6088915
m46,0.8434203,1.4742101,2.0083544,2.9535122,4.1428246
m47,0.8354956,1.4684458,2.1870022,3.01783,3.6786585
m51_1,0.843974,1.4857105,2.0619478,2.9304268,4.050439
m51_no_bg,0.84244055,1.4664589,2.0683103,2.9423547,3.6399374
m52_no_bg,0.84546435,1.513137,2.0486581,2.9352303,4.136453
m53,0.8460711,1.5219646,2.0968997,2.967229,4.0929317
m53_2_psl,0.841574,1.4928272,2.1702487,2.8903644,4.1396475
m58_1,0.84304,1.4929888,2.1058438,2.9515834,3.8181965
m55_bg_small,0.8433742,1.506885,2.107499,2.9062796,3.9208183

